O : à ASCO:t (dit avec dérision) (RIRE) <P1,L1> 
Y : [ 1 (il hoche la tête affirmativement) <P112,L11> 
Y : [ 2 (il hoche la tête affirmativement) <P112,L12> 
Y : ah ouin ouin (il hoche la tête négativement) <P112,L13> 
S : pogné des bosses [ 1 <all<tatatatatata>> dit comme pour imiter le bruit de quelque chose qui passe sur des bosses) <P113,L1> 
Y : [ 1 c’était des vallons ou (en faisant onduler son bras devant lui comme pour représenter des vallons) <P113,L2> 
O : non non c’étai:t c’était une calvette (en faisant piquer sa main droite vers la table puis en la redirigeant subitement vers le haut comme pour reproduire la forme de la calvette) <P113,L3> 
S : ah <P113,L4> 
O : c’était [ 1 carrémen:t une rigole de [ 2 fo- euh entre deux clos là/ [ 3 entre deux (en montant et descendant ses mains en alternance comme pour représenter les deux clos) ouais ouais c’était dans la trail (.) il y avait deux clos qui euh: (en descendant une de ses mains et en montant l’autre comme pour représenter les hauteurs différentes des deux clos dont il parle) (.) [ 4 ben (en ramenant ses mains à la même hauteur et en inclinant la tête comme pour signifier une approximation) <cresc<ils étaient pas mal à la même [ 5 hauteur/>> mais (en traçant un creux avec l’une de ses mains pour aller rejoindre son autre main comme pour représenter le creux entre les deux clos) <P113,L5> 
Y : [ 1 comme un creux (en faisant descendre puis remonter sa main comme pour reproduire la forme du creux) <P113,L6> 
Y : [ 2 ouin mais c’était dans la trail/ (en hochant la tête affirmativement) <P113,L7> 
Y : [ 3 c’était dans la trail/ (en hochant la tête affirmativement) <P113,L8> 
S : [ 4 une rigole là/ <P113,L9> 
Y : [ 5 pis t’étais au fond là (en hochant la tête affirmativement) <P113,L10> 
S : une rigole de [ 1 labour <P113,L11> 
O : [ 1 la rigole là (en faisant piquer sa main droite vers la table et en la redirigeant subitement vers le haut comme pour représenter la rigole) (.) moi j’ai jumpé PAF dans la rigole (en frappant les doigts de sa main droite pointée sur sa main gauche et en remontant sa main comme pour représenter l’impact dans le fond et le saut qui a suivi) <P113,L12> 
Y : ah le skidoo a arrêté drette là/ (dit avec étonnement et en pointant sa main vers le bas comme pour représenter la motoneige au fond de la rigole) <P113,L13> 
O : ben non moi euh (.) je suis arrivé comme pour jumper (en déplaçant sa main droite vers sa main gauche comme pour représenter la motoneige qui s’approche de la rigole) (.) mais t’avais la rigole (en déplaçant sa main droite jusqu’à ce qu’elle touche sa main gauche comme pour représenter la motoneige qui arrive à la rigole) <P113,L14> 
Y : (il hoche la tête affirmativement) <P114,L1> 
O : en pognant la rigole (en frappant les doigts de sa main droite sur sa main gauche comme pour représenter la motoneige qui frappe la rigole) le skidoo il est venu de même (en montant sa main droite dans les airs, perpendiculaire au sol comme pour montrer la motoneige qui est projetée dans les airs) <P114,L2> 
Y : <p<eh crisse ok> en hochant la tête affirmativement) (0:07:01.2) <P114,L3> 
O : mais le skidoo il a retombé/ là (en faisant passer, en un mouvement rapide, son bras d’une position verticale à une position horizontale) (.) mais heille ça a vargé en ostie <P114,L4> 
Y : (il hoche la tête affirmativement) <P114,L5> 
O : j’ai été chanceux parce que ch- (en pointant Yan de son index comme pour attirer son attention) (.) Chabanel l’a déjà fait/ retomber debout sur le skidoo (en plaçant son bras perpendiculaire au sol) (.) pis il a tout crochi en dessous/ (en montant sa main rapidement en pointant son pouce vers le haut comme pour représenter l’impact) <P114,L6> 
Y : (il hoche la tête affirmativement) <P114,L7> 
O : moi c’est [ 1 rien qu’en avant (en pointant devant lui) que ça a crochi là/ (1,4”) mais un coup j’avais fouillé c’était avec euh: le père à Labelle pis euh (il lève le menton comme pour désigner les gens dont il parle) tout euh (en pointant son pouce vers la droite comme pour désigner les gens dont il parle) ses gangs de chums/ on devait être euh quinze skidoos <P114,L8> 
Y : [ 1 (RIRE) <P114,L9> 
Y : ah ouin/ <P114,L10> 
O : moi pis Labelle (en levant ses mains comme pour exprimer une restriction) c’était la première fois qu’on faisait une ride avec eux-autres <P114,L11> 
Y : (il hoche la tête affirmativement) <P114,L12> 
O : la: la track là (en pointant son index vers le haut comme pour désigner l’endroit dont il parle) (0:07:30.6) <P114,L13> 
Y : ouin <P114,L14> 
O : moi pis Labelle là on roulait cent vingt cent trente pis câlif on les rattrape MÊME pas (dit avec étonnement) (.) là heille pis t’sais les ponts ben les ponts (en fronçant les sourcils comme pour signifier son incertitude) de bois je le sais pas si t’en avais [ 1 déjà pogné/ <P114,L15> 
Y : [ 1 (il hoche la tête affirmativement) <P114,L16> 
O : heille/ d’habitude on roulait vingt ou trente/ (en plaçant sa main parallèle à la table comme pour représenter le pont) là-dessus <P114,L17> 
Y : (il hoche la tête affirmativement) <P115,L1> 
O : moi pis Labelle là on passait sur les ponts à cent [ 1 cent vingt pis euh câlique on les rattrape même pas (en se penchant vers l’avant comme pour exprimer son incrédulité) (.) heille on trouvait ça malade/ là [ 2 le pont de bois/ là à cent vingt/ là (en plaçant ses mains écartées devant lui comme s’il tenait les poignées d’une motoneige) (.) ça [ 3 t’arrivais sur le pont là (il raidit ses épaules tout en gardant ses mains sur les poignées imaginaires comme pour représenter le stress créé par l’arrivée sur le pont) [ 4 pis <P115,L2> 
Y : [ 1 (il hoche la tête affirmativement) <P115,L3> 
Y : [ 2 (il hoche la tête affirmativement) <P115,L4> 
Y : [ 3 (il place ses mains écartées devant lui comme s’il tenait les poignées d’une motoneige et bouge ses bras de droite à gauche comme s’il avait du mal à contrôler sa motoneige) t- <P115,L5> 
S : [ 4 zouv: (dit comme pour imiter le bruit d’une motoneige qui va très vite) <P115,L6> 
O : tu te tenais raide <f<[rrrrrr]>> dit comme pour imiter le bruit du passage de la motoneige sur le pont de bois et en créant des soubresauts avec ses épaules et ses bras toujours sur les poignées imaginaires comme s’il passait sur un chemin strié) ça passait (.) HEIN (.) tu regardais (en regardant derrière lui) (.) comme de fait t’arrives (en inclinant la tête comme pour exprimer la confirmation de ce qu’il avait projeté) à un moment donné le pont de bois (en inclinant la tête comme pour exprimer la confirmation de ce qu’il avait projeté) (.) HEIN (.) deux skidoos arrêtés l’autre bord (en étendant les bras devant lui comme pour représenter la position des motoneiges) <P115,L7> 
Y : (il lève le menton comme pour signifier son incrédulité) <P115,L8> 
O : qu’est-ce (il lève le menton vers Yan comme pour l’interpeller) que tu penses ça a fait <P115,L9> 
Y : (il hoche la tête négativement) <P115,L10> 
O : moi j’ar- j’ai passé <f<juste juste>> entre [ 1 les deux (en étendant son bras sur la table, la main ouverte et accotée sur le tranchant de la main et suivant du regard la ligne tracée par son bras comme pour représenter le passage étroit dont il parle) (0:08:11.9) <P115,L11> 
S : [ 1 vous avez roulé en mongoles eux-autres <P115,L12> 
O : euh: le père à [ 1 Labelle c’est une manuelle euh {ça a accoté;c’est} dans la barrure (en serrant son poing comme s’il tenait une poignée de motoneige) <P115,L13> 
Y : [ 1 le père à Labelle il roule en ostie (en hochant la tête affirmativement) [ 2 oui oui heille (en hochant la tête affirmativement et en haussant les sourcils comme pour insister sur ses propos) <P116,L1> 
S : [ 2 ah ouin <P116,L2> 
O : <f<sur la track>> sur la track [ 1 oublie ça (en ouvrant les mains devant lui comme pour présenter la situation telle qu’elle est) (.) mais eux-autres/ ils ralentissaient [ 2 pour les ponts/ (en levant et descendant sa main comme pour représenter le passage sur le pont) <P116,L3> 
Y : [ 1 <p<ouin>> <P116,L4> 
Y : [ 2 pis il est avec la madame en arrière (en inclinant la tête vers la gauche comme pour désigner une personne derrière lui) (il hoche la tête affirmativement en étirant les commissures de ses lèvres comme pour signifier son incrédulité) <P116,L5> 
O : ah oui ah oui [ 1 c’est c’est les deux sur le skidoo là (en pointant son pouce vers l’arrière comme pour désigner une personne derrière lui) (.) eux-autres t’sais ils ralentissaient/ (en avançant sa main vers le bas comme s’il freinait) mais ils reclenchaient tellement/ (en se reculant et en ramenant sa main comme sous l’effet de la reprise de vitesse) (.) t’sais nous-autres là <P116,L6> 
S : [ 1 (RIRE) <P116,L7> 
Y : [ 1 ah oui (en hochant la tête affirmativement) <P116,L8> 
Y : heille pis il a des bonnes machines itou [ 1 t’sais il est j- il se promène pas (en levant son menton vers la gauche comme pour désigner les motoneiges dont il parle) à pied le père à Labelle (en haussant les sourcils comme pour insister sur ses propos) <P116,L9> 
O : [ 1 ah ouais <P116,L10> 
O : il change de skidoo aux [ 1 deux ans (0:08:32.6) <P116,L11> 
Y : [ 1 ouin c’est ça aux deux ans (.) [ 2 pis il arrive il repart (en donnant des coups avec son bras comme s’il manœuvrait l’accélérateur de la motoneige) <P116,L12> 
S : [ 2 suspension deux fois par année/ <P116,L13> 
Y : ouin c’est ça eh eh [ 1 il le recrinque il le recrinque (dit en riant et en faisant un mouvement de rotation du poignet droit comme s’il utilisait un cric) [ 2 (RIRE) <P116,L14> 
S : [ 1 (RIRE) <P116,L15> 
O : [ 2 j’avais juste accroché pour dire [ 3 un des skidoos (en faisant zigzaguer sa main droite comme pour représenter la trajectoire de la motoneige lors de la collision) (il place ses deux mains parallèles devant lui puis les tourne brusquement dans une position diagonale à lui comme pour représenter la déviation) ça a fait virer [ 4mon volant <P117,L1> 
Y : [ 3 (il hoche la tête affirmativement) <P117,L2> 
Y : [ 4 l’as-tu brisé l’autre skidoo/ ou (il hoche la tête négativement) [ 5 <pp<il a rien eu>> <P117,L3> 
O : [ 5 ben ça a fait une poque c’est tout <P117,L4> 
Y : ouin <P117,L5> 
O : moi [ 1 j’avais arraché un patin (en pointant par-dessus son épaule avec son pouce comme pour désigner le patin dont il parle) <P117,L6> 
Y : [ 1 t’as pas réclamé rien/ <P117,L7> 
O : non c’est euh (en fronçant les sourcils comme s’il cherchait ses mots) (il pointe son index devant lui comme pour désigner la personne dont il va parler) Florent quelque chose là à SaintAnselme là dans la deuxième là (en pointant l’index devant lui comme pour désigner l’endroit dont il parle) <P117,L8> 
Y : (il hoche la tête négativement et pince les lèvres comme pour signifier qu’il ne connaît pas la personne dont il est question) <P117,L9> 
O : il a une euh une compagnie de construction lui/ <P117,L10> 
Y : <p<non je sais pas c’est qui>> 0:08:56.2) <P117,L11> 
O : là euh (.) j’avais fouillé ben <f<Labelle>> lui il a dépassé ce gars-là SUR le pont (en déposant sa bière sur la table comme pour insister sur l’endroit précis dont il parle) <P117,L12> 
Y : (il lève le menton comme en signe d’incrédulité) <P117,L13> 
O : Labelle là il dit •j’avais un patin dans le vide° (en balançant son bras sur le côté de son corps de haut en bas comme pour représenter le patin balançant dans le vide) <P117,L14> 
Y : (il hoche la tête affirmativement) <P117,L15> 
O : pis il dit •je l’ai dépassé (en faisant passer une main devant l’autre comme pour représenter un dépassement) [ 1 il était arrêté sur le pont (en ouvrant les mains devant lui comme pour présenter la situation telle qu’elle est) <P117,L16> 
Y : [ 1 (il hoche la tête affirmativement) <P118,L1> 
Y : où ça c’était où/ <P118,L2> 
O : sur la track à Sainte-Ren- Saint-Notre-Dame-de-Grâce là/ <P118,L3> 
Y : ok (en hochant la tête affirmativement) <p<hi [ 1 crisse>> <P118,L4> 
O : [ 1 EH <P118,L5> 
Y : [ 1 pis tu t’es fouillé là/ <P118,L6> 
S : [ 1 ils ont dû dire [ 2 •ostie de deu-° <P118,L7> 
O : [ 2moi HEILLE [ 3 dans <P118,L8> 
Y : [ 3 t’as-tu été bon pour revenir avec le skidoo ce coup-là/ ou <P118,L9> 
O : ben non (.) c’est euh: (.) le jeune qui était venu me chercher avec euh: (.) le pick-up au père à Labelle je pense/ <P118,L10> 
Y : ah ouin/ (0:09:27.2) <P118,L11> 
O : ouin (3,5”) ah oublie euh (.) heille j’étais dans j’étais à peu près à trente pieds dans le fond de la track (en pointant vers le sol comme pour désigner l’endroit dont il parle) <P118,L12> 
Y : (il hoche la tête affirmativement) <P118,L13> 
O : t’sais on venait de passer une rivière là (en écartant les bras comme pour montrer la largeur de la rivière) (il pointe vers le sol comme pour désigner le creux dont il parle) c’était profond là <P118,L14> 
Y : calvaire <P118,L15> 
O : heille [ 1 j’ai fait des tonneaux jusqu’en bas moi <P118,L16> 
Y : [ 1 t’sais;(inaud.)} <P118,L17> 
Y : (il hoche la tête affirmativement) <P118,L18> 
O : eux-autres ils couraient en CRIF heille [ 1 euh j’étais rendu loin (en pointant vers le sol comme pour désigner le lieu où il a abouti) en câlique après ça ça euh ça s’appelle •sors le skidoo° <P118,L19> 
Y : [ 1 ouin (il hoche la tête affirmativement) <P118,L20> 
Y : ouin ressortir ça de là (en levant la tête et en regardant vers le haut comme s’il regardait le haut du trou où se trouverait la motoneige) crinquer ça euh: (en montant son bras tout en courbant les doigts vers l’avant comme pour représenter la sortie de la motoneige) <P119,L1> 
O : ben euh rien que le sortir (.) il a fallu genre {qu’il pogne;qu’ils pognent} une corde/ (en plaçant sa main ouverte devant lui la paume dirigée vers lui comme pour représenter la corde dont il parle) <P119,L2> 
O : pis ils étaient tout/ le monde/: (en formant un angle de quatre-vingt-dix degrés avec ses mains comme pour désigner l’emplacement des gens dont il parle) (.) t’avais un skidoo accroché après la corde/ (en donnant un coup sur la table avec le tranchant de la main comme pour montrer l’emplacement de la motoneige) (.) mais quand ils tiraient mon skidoo il ti- il suivait [ 1 dans le fosset (en glissant ses mains parallèles sur la table comme pour représenter le déplacement des motoneiges) <P120,L1> 
Y : [ 1 ah là il suivait la: ouais (en avançant sa main devant lui comme pour représenter l’inclinaison de la pente) <P120,L2> 
O : fait que tout le monde [ 1 étaient sur la corde pis ils tiraient la corde (en plaçant ses mains ouvertes l’une derrière l’autre comme pour représenter l’alignement des motoneiges et en glissant son corps vers la gauche comme s’il tirait sur la corde) pour forcer la corde à monter (en levant sa main comme s’il tirait la corde) <P120,L3> 
Y : [ 1 (il hoche la tête affirmativement) <P120,L4> 
Y : eh crisse (en hochant la tête affirmativement) <P120,L5> 
O : heille ils étaient quasiment dix sur la corde <P120,L6> 
Y : (il hoche la tête affirmativement) <P120,L7> 
O : pis euh [ 1 on est arrivés en haut il avait un patin de décâlifé pis (en faisant descendre puis remonter sa main comme pour représenter le patin ballant) <P120,L8> 
Y : [ 1 (il hoche la tête négativement) (RIRE) ouin c’est ça [ 2 plate en ostie <P120,L9> 
O : [ 2 pis là mon: mon crank (en formant un poing avec sa main comme pour représenter le crank dont il parle) avait lâché/ <P120,L10> 
Y : (il hoche la tête négativement) <P120,L11> 
O : si mon crank aurait marché (en refermant le poing, l’ouverture vers le haut comme s’il tenait un outil) [ 1 on aurait été capable de repartir/ le crank était lâché là/ il fallait essayer de la partir avec la CORDE (en élevant les deux mains jointes vers le haut comme s’il tirait sur une corde) <P120,L12> 
Y : [ 1 (il hoche la tête négativement) <P120,L13> 
Y : (il hoche la tête affirmativement) <P120,L14> 
O : mais ça c’est (en inclinant la tête comme pour exprimer une évidence) [ 1 c’est quand qu’il part du premier coup là/ (0:00:31.6) <P120,L15> 
Y : [ 1 (il hoche la tête affirmativement) ouin c’est ça (dit en riant) (.) ostie (en hochant la tête négativement) <P121,L1> 
O : c’était le fun en [ 1 crif avec du monde que tu connais pas là/ <P121,L2> 
Y : [ 1 {c’est f-;(inaud.)} <P121,L3> 
Y : ouin <P121,L4> 
O : là c’est un gars qui est venu me tir- un gars qui m’a tiré je savais même pas c’était qui/ <P121,L5> 
Y : (il hoche la tête affirmativement) <P121,L6> 
O : là rendu là-bas ben cri- (en donnant un coup de poignet comme s’il donnait quelque chose) [ 1 donne de l’argent là heille ça boit là/ quand tu tires un skidoo là/ <P121,L7> 
Y : [ 1 (il hoche la tête affirmativement) ah il t’a (en levant le menton comme pour désigner l’endroit dont il va parler) ramené jusqu’au chemin pis tout/ <P121,L8> 
O : ben il m’a ramené [ 1 au chemin le plus proche là (en faisant un grand mouvement ascendant avec son bras comme pour désigner l’endroit dont il parle) <P121,L9> 
Y : [ 1 (il hoche la tête affirmativement) <P121,L10> 
O : ça a pris quasiment une demi-heure <P121,L11> 
Y : (il hoche la tête affirmativement) <P121,L12> 
O : j’ai vidé (en hochant la tête négativement) la moitié de sa tank (en bougeant sa main horizontalement comme pour insister sur ses propos) <P121,L13> 
Y : (il hoche la tête affirmativement) <P121,L14> 
O : là il dit •ouin je sais même pas si je vas me rendre euh (.) où est-ce qu’on s’en va/° <P121,L15> 
Y : (RIRE) <P121,L16> 
O : moi j’ai dit •regarde (en ouvrant les mains comme pour présenter la situation telle qu’elle est) moi je te donne de l’argent pi:s [ 1 tu te feras tirer au pire° (dit en riant) (RIRE) (0:01:01.0) <P121,L17> 
Y : [ 1 (il hoche la tête affirmativement) tu te referas retirer <P121,L18> 
S : tu te referas retirer par un autre <P121,L19> 
Y : c’est ça qui arrive un ostie de skidoo man c’est de l’aria/ (.) en tout cas t’sais au moins astheure ils sont plus beaux [ 1 sont plus fiables <P122,L1> 
O : [ 1 sont moins pires ben oui [ 2 sont moins pires <P122,L2> 
Y : [ 2 sont plus fiables pas mal que dans le temps\ (en inclinant la tête vers la gauche comme pour représenter l’idée du passé) (.) dans le temps fallait que tu taponnes pis tout ça/ avoir un skidoo/ (il hoche la tête négativement) tout le temps changer les bougies (en levant la tête vers la droite comme pour représenter tous les soucis liés à la possession d’une motoneige) ostie [ 3 (inaud.) <P122,L3> 
O : [ 3 ouin mais là/ c’est tous des quatre temps astheure/ <P122,L4> 
Y : ouin (en hochant la tête affirmativement) <P122,L5> 
O : [ 1 à part les Bombardiers là <P122,L6> 
S : [ 1moi c’est euh un vieux Olympique [ 2 une affaire de même là pour s’amuser là brzzz (dit en imitant le bruit de la motoneige et en fermant ses mains en poings devant lui comme s’il tenait les poignées de la motoneige) <P122,L7> 
Y : [ 2 (il hoche la tête affirmativement) <P122,L8> 
O : [ 2 ah non des affaires de même là il faut non\ j’en aurais un/ [ 3moi <P122,L9> 
Y : [ 3 ouin mais c’est justement un vieux Olympique c’est ça faut tu ta[ 4 ponnes <P122,L10> 
O : [ 4 ben oui faut [ 5 faut (0:01:27.4) <P122,L11> 
Y : [ 5 c’est tout le temps bric- bric à [ 6 brac ostie euh (en levant la tête vers la droite comme pour représenter tous les soucis liés à la possession d’une motoneige) <P122,L12> 
S : [ 6 euh <P122,L13> 
O : pis quand tu vas [ 1 faire ça il faut que tu ailles une suit pour faire ça parce que tu sens le fuel [ 2 en arrivant <P122,L14> 
Y : [ 1 faut tout le temps que tu taponnes ça pis (en ouvrant les bras comme pour présenter la situation telle qu’elle est) <P122,L15> 
Y : [ 2 tu sens le gaz [ 3 l’huile ostie {la;à} graisse <P122,L16> 
S : [ 3 ouin (RIRE) <P122,L17> 
O : j’en aurais/ un moi mon beau-père m’en a donné [ 1 un mais <P123,L1> 
Y : [ 1 un pif-powf là [ 2 ostie <P123,L2> 
O : [ 2 ouais ouais c’est un pifpowf [ 3 là c’est un vieux Olympique soixante et douze soixante et treize là <P123,L3> 
Y : [ 3 ah ouais <P123,L4> 
Y : (il hoche la tête affirmativement) [ 4 ben <P123,L5> 
O : [ 4mon beau-père [ 5 il dit •là il marche pas° (en ouvrant les mains devant lui comme pour présenter la situation telle qu’elle est) <P123,L6> 
Y : [ 5 c’est comme Ti-Dier euh il avait un Snowjet une affaire de [ 6même t’sais une vieille réguine (.) tu tu vas p- pas battre ça c’est juste pour te promener sur la neige [ 7 (inaud.) (en bougeant ses mains doucement d’un côté et de l’autre comme s’il tenait les poignées d’une motoneige) <P123,L7> 
S : [ 6 ouin <P123,L8> 
O : [ 7 <p<dans la grosse neige ouin>> <P123,L9> 
S : [ 7 ben ouais <P123,L10> 
Y : <all<mais crisse checke>> en laissant tomber sa main sur la table comme pour insister sur ses propos) (.) tant qu’à ça mon père là son Tundra qu’il s’est acheté (en pointant vers la droite comme pour désigner la motoneige dont il parle) (.) ça tire ça tire pas plus ben ben que ça [ 1mais tu vas partout <P123,L11> 
O : [ 1 ouin tu vas partout [ 2 comme René Hinse pis (en tournant la tête vers la droite comme pour désigner la personne dont il parle) (0:01:59.9) <P123,L12> 
Y : [ 2 qu’il aille sur le bord {de:;de euh} (en pointant vers la droite comme pour désigner l’endroit dont il parle) (.) ben c’est ça c’est le même modèle [ 3 que René sauf qu’il a pas le il a pas {le:;le euh} la même suspension/ lui c’est un free style euh: je sais pas quoi en tout cas (.) pis il dit •regarde c’est un petit° c’est un trois cents ou quatre cents/ mon père je sais pas trop un Tundra/ c’est quoi (.) trois cents/ ou quatre cents le moteur <P123,L13> 
O : [ 3 ouais <P123,L14> 
O : hum (.) pff: <P123,L15> 
Y : <all<en tout cas c’est petit là>> <P123,L16> 
O : avant c’était des deux cinquante/ mais <P123,L17> 
Y : je pense c’est un (.) trois ou quatre cents <all<en tous cas peu importe>> t’arrives sur le bord d’un bois/ là (en levant sa main vers la droite comme pour désigner l’endroit dont il parle) (.) drette dans une poudreuse (en mettant sa main à la hauteur de ses yeux, la paume vers le bas comme pour montrer la hauteur de la neige) t’arrêtes (en regardant de chaque côté) (.) va [ 1 checker ça (en regardant de chaque côté comme s’il s’apprêtait à poursuivre son chemin après s’être arrêté) <P124,L1> 
O : [ 1 {ah;ben} non je me [ 2 trompe avec des Bravos <P124,L2> 
Y : [ 2 t- t- t- t’arrives (en se penchant sur le côté en ramenant son bras vers lui comme pour représenter la descente de la motoneige) pis tu: (.) [ 3 tu tu débarques en bas du skidoo (en descendant sa main droite vers le sol à sa gauche comme pour représenter la descente de la motoneige) tu cales jusqu’ici (en dessinant une ligne avec ses mains à la hauteur de son torse comme pour indiquer la hauteur de la neige) (.) tu resautes sur le skidoo (en déplaçant ses bras vers la droite comme pour représenter quelqu’un qui monte sur une motoneige) [ 4 bvrr (dit comme pour imiter le bruit de la motoneige) tu re[ 5 pars (en passant sa main devant lui comme pour représenter le départ de la motoneige) mon homme <P124,L3> 
O : [ 3 tu vires ça <P124,L4> 
O : [ 4 (il hoche la tête affirmativement) <P124,L5> 
O : [ 5 ben ouais <P124,L6> 
S : hum (dit en riant) <P124,L7> 
Y : heille (en se reculant sur sa chaise comme pour insister sur ses propos) c’est merveilleux (.) pis t’arriverais là avec un skidoo de trail (en levant son menton vers la droite comme pour désigner la motoneige dont il parle) mon homme là t’sais tu [ 1 (il descend sa main vers la table comme pour représenter la motoneige qui cale dans la neige) <p<tu te cales>> 0:02:40.1) <P124,L8> 
O : [ 1 eh eh ça ça s’appelle (dit en riant) lâche-le pas [ 2 là <P124,L9> 
Y : [ 2 boum (dit comme pour imiter le bruit de la motoneige qui s’enlise et en descendant sa main vers la table comme pour représenter la motoneige qui cale dans la neige) (.) ouin c’est ça (dit en riant) [ 3 {ils sont;(inaud.)} (en hochant la tête négativement) <P124,L10> 
O : [ 3 surtout pas un Yamaha [ 4 astheure (.) heille euh non t’étais pas là (inaud.) <P124,L11> 
Y : [ 4 ouais <P124,L12> 
Y : non moi moi avoir une bébelle là ça serait ça là (.) plus de quatre-roues j’en ai déjà eu un quatre-roues (.) astheure tu peux plus en faire <P124,L13> 
O : t’en fais plus de quatre-roues <P125,L1> 
Y : ben (en ouvrant les mains devant lui comme pour présenter la situation telle qu’elle est) le quatre-roues faut que t’ailles faire de la petite route/ (en levant sa main ouverte comme pour désigner les petites routes dont il parle) [ 1 pis tout ça pis tu fais pogner par la police tout le temps ouin (en ouvrant sa main comme pour présenter la situation telle qu’elle est) [ 2 l’hiver/ <P125,L2> 
O : [ 1 pis c’est rien que l’été c’est pas l’hiver là <P125,L3> 
O : [ 2 ici il y a pas de trail/ [ 3 là (en haussant les sourcils comme pour insister sur ses propos) <P125,L4> 
Y : [ 3 l’hiver tu crosses le chien tout le temps dans les trails avec ça (en ouvrant ses mains devant lui comme pour présenter la situation telle qu’elle est) [ 4 (il incline la tête vers la gauche comme en signe de découragement) <P125,L5> 
O : [ 4 tu montes un peu dans les hauts/ (en levant le menton vers la gauche comme pour désigner l’endroit dont il parle) il y a des trails partout/ (0:03:01.8) <P125,L6> 
Y : tu fourres le chien euh ostie à: (en tournant la tête vers la droite comme pour désigner un endroit) <P125,L7> 
S : moi j’aimais ben [ 1mieux en faire l’hiver que l’été du quatre-roues/ <P125,L8> 
Y : [ 1 à pousser ah non ça marche pas <P125,L9> 
S : (inaud.) heille moi pis Yves on allait au {Lessard;(inaud.)} <P125,L10> 
O : ah: ben c’est ça là t’allais pas loin/ là (.) en skidoo/ d- t- t- t’en VOIS du monde en crif là <P125,L11> 
Y : ouin ouin (en hochant la tête affirmativement) (.) pis tu fais du chemin/ [ 1 dans une journée là/ (en levant son menton vers la droite comme pour désigner un endroit) (.) [ 2 je vas monter à Matagami (en levant son menton vers la droite comme pour désigner l’endroit dont il parle) je vas revenir à Laval (en pointant avec son index par-dessus son épaule gauche) pis (il hoche la tête négativement) il y a pas de trouble là t’sais <P125,L12> 
O : [ 1 ah oui <P125,L13> 
O : [ 2 une journée deux trois cents kilomètres c’est facile/ <P125,L14> 
O : en [ 1 quatre-roues (en inclinant la tête comme pour exprimer une évidence) tu le fais pa:s <P125,L15> 
Y : [ 1 en quatre-roues monter à Thetford (en tournant la tête vers la droite comme pour désigner l’endroit dont il parle) ostie ça prenait une journée (dit en riant) <P125,L16> 
O : ouin (dit en riant) <P126,L1> 
Y : tabarnaque (dit en riant et en haussant les épaules comme en signe d’impuissance) <P126,L2> 
O : il y [ 1 a un coup qu’on était monté euh à Thetford euh à un moment donné (.) pis [ 2 Labelle était tombé en panne avec son: (en inclinant la tête vers la droite comme pour désigner le quatreroues dont il parle) son Yamaha là <P126,L3> 
Y : [ 1 ça a pas de bon sens ça (0:03:31.6) <P126,L4> 
Y : [ 2 s- <P126,L5> 
S : ah c’est la fois [ 1 que j’étais là ça/ <P126,L6> 
Y : [ 1 ouais [ 2 (il hoche la tête affirmativement) <P126,L7> 
O : [ 2 ouin (.) je le TIrais là/ (.) pis (.) le [ 3 skidoo là (en pointant son index et son majeur devant lui comme pour attirer l’attention sur ses propos) moi mon skidoo il virait mettons cut off il virait huit mille [ 4 tours là/ <P126,L8> 
Y : [ 3 s- <P126,L9> 
Y : [ 4 (il hoche la tête affirmativement) <P126,L10> 
O : pis je le tenais à six mille sept mille tours là <P126,L11> 
Y : (il hoche la tête affirmativement) <P126,L12> 
O : pis on roulait à peu près trente <P126,L13> 
Y : eh crisse il fal- il vire en ostie (en hochant la tête affirmativement) <P126,L14> 
O : <all<AH il virait de sour>> .) il virait de sour (en regardant le plancher à sa droite comme s’il regardait la motoneige renversée) [ 1mon gars pis heille le skidoo en arrière (en pointant son pouce par-dessus son épaule comme pour désigner la motoneige derrière lui) était [ 2 pesant là/ j’avais quasiment un <P126,L15> 
Y : [ 1 (il hoche la tête négativement) <P126,L16> 
Y : [ 2 (il hoche la tête affirmativement) <P126,L17> 
Y : c’est bon [ 1 pour la r- c’est bon [ 2 pour la strap euh <P126,L18> 
O : [ 1 un mille livres (0:03:53.1) <P126,L19> 
O : [ 2 ah (en baissant la tête vers la gauche comme pour exprimer une évidence) <P127,L1> 
O : j’ai dit à Labelle j’ai dit •mais que ça descend là° (en pointant devant lui comme pour désigner un endroit) (.) [ 1 j’ai dit •si la corde prend du lousse là (il hoche la tête négativement) pèse pas sur les brake pi:s (en descendant son bras avec son doigt pointé comme pour représenter la motoneige qui descend une pente) [ 2 laisse-le aller parce que moi je le tiens° (en formant un poing avec sa main comme s’il tenait la motoneige) <P127,L2> 
Y : [ 1 (il hoche la tête affirmativement) <P127,L3> 
Y : [ 2 (RIRE) (en hochant la tête affirmativement) (il hoche la tête affirmativement) <P127,L4> 
O : je l’avais monté jusqu’à soixante et dix je pense\ <P127,L5> 
Y : (il hoche la tête affirmativement) <P127,L6> 
O : eh (2”) <p<ostie>> HEILLE on était CINQ pour le mettre dans la boîte du pick-up <P127,L7> 
Y : c’est: euh: Daniel il l’a-tu eu le sien/ <P127,L8> 
S : non <P127,L9> 
Y : il l’a pas encore/ <P127,L10> 
O : ah il en a acheté un autre lui hein (en fronçant les sourcils comme en signe d’incertitude) <P127,L11> 
